LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
26.25,-116.75,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
26.75,-116.75,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
27.25,-116.75,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
27.75,-116.75,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
28.25,-116.75,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
28.75,-116.75,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
29.25,-116.75,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
29.75,-116.75,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
30.25,-116.75,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
30.75,-116.75,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
31.25,-116.75,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
31.75,-116.75,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
32.25,-116.75,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
32.75,-116.75,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
14.75,-116.25,ALLSKY_SFC_SW_DWN,4.61,5.37,6.21,6.34,6.4,6.27,6.11,5.97,5.86,5.51,4.65,4.23,5.63
15.25,-116.25,ALLSKY_SFC_SW_DWN,4.53,5.3,6.08,6.28,6.34,6.24,6.37,6.15,6.01,5.52,4.63,4.12,5.63
15.75,-116.25,ALLSKY_SFC_SW_DWN,4.53,5.3,6.08,6.28,6.34,6.24,6.37,6.15,6.01,5.52,4.63,4.12,5.63
16.25,-116.25,ALLSKY_SFC_SW_DWN,4.44,5.23,5.96,6.21,6.26,6.15,6.44,6.23,6.06,5.43,4.57,4.03,5.58
16.75,-116.25,ALLSKY_SFC_SW_DWN,4.44,5.23,5.96,6.21,6.26,6.15,6.44,6.23,6.06,5.43,4.57,4.03,5.58
